52,-125,55,-122
49,-125,52,-122
46,-125,49,-122
43,-125,46,-122
40,-125,43,-122
37,-125,40,-122
34,-125,37,-122
31,-125,34,-122
28,-125,31,-122
25,-125,28,-122
22,-125,25,-122
52,-122,55,-119
49,-122,52,-119
46,-122,49,-119
43,-122,46,-119
40,-122,43,-119
37,-122,40,-119
34,-122,37,-119
31,-122,34,-119
28,-122,31,-119
25,-122,28,-119
22,-122,25,-119
52,-119,55,-116
49,-119,52,-116
46,-119,49,-116
43,-119,46,-116
40,-119,43,-116
37,-119,40,-116
34,-119,37,-116
31,-119,34,-116
28,-119,31,-116
25,-119,28,-116
22,-119,25,-116
52,-116,55,-113
49,-116,52,-113
46,-116,49,-113
43,-116,46,-113
40,-116,43,-113
37,-116,40,-113
34,-116,37,-113
31,-116,34,-113
28,-116,31,-113
25,-116,28,-113
22,-116,25,-113
52,-113,55,-110
49,-113,52,-110
46,-113,49,-110
43,-113,46,-110
40,-113,43,-110
37,-113,40,-110
34,-113,37,-110
31,-113,34,-110
28,-113,31,-110
25,-113,28,-110
22,-113,25,-110
52,-110,55,-107
49,-110,52,-107
46,-110,49,-107
43,-110,46,-107
40,-110,43,-107
37,-110,40,-107
34,-110,37,-107
31,-110,34,-107
28,-110,31,-107
25,-110,28,-107
22,-110,25,-107
52,-107,55,-104
49,-107,52,-104
46,-107,49,-104
43,-107,46,-104
40,-107,43,-104
37,-107,40,-104
34,-107,37,-104
31,-107,34,-104
28,-107,31,-104
25,-107,28,-104
22,-107,25,-104
52,-104,55,-101
49,-104,52,-101
46,-104,49,-101
43,-104,46,-101
40,-104,43,-101
37,-104,40,-101
34,-104,37,-101
31,-104,34,-101
28,-104,31,-101
25,-104,28,-101
22,-104,25,-101
52,-101,55,-98
49,-101,52,-98
46,-101,49,-98
43,-101,46,-98
40,-101,43,-98
37,-101,40,-98
34,-101,37,-98
31,-101,34,-98
28,-101,31,-98
25,-101,28,-98
22,-101,25,-98
52,-98,55,-95
49,-98,52,-95
46,-98,49,-95
43,-98,46,-95
40,-98,43,-95
37,-98,40,-95
34,-98,37,-95
31,-98,34,-95
28,-98,31,-95
25,-98,28,-95
22,-98,25,-95
52,-95,55,-92
49,-95,52,-92
46,-95,49,-92
43,-95,46,-92
40,-95,43,-92
37,-95,40,-92
34,-95,37,-92
31,-95,34,-92
28,-95,31,-92
25,-95,28,-92
22,-95,25,-92
52,-92,55,-89
49,-92,52,-89
46,-92,49,-89
43,-92,46,-89
40,-92,43,-89
37,-92,40,-89
34,-92,37,-89
31,-92,34,-89
28,-92,31,-89
25,-92,28,-89
22,-92,25,-89
52,-89,55,-86
49,-89,52,-86
46,-89,49,-86
43,-89,46,-86
40,-89,43,-86
37,-89,40,-86
34,-89,37,-86
31,-89,34,-86
28,-89,31,-86
25,-89,28,-86
22,-89,25,-86
52,-86,55,-83
49,-86,52,-83
46,-86,49,-83
43,-86,46,-83
40,-86,43,-83
37,-86,40,-83
34,-86,37,-83
31,-86,34,-83
28,-86,31,-83
25,-86,28,-83
22,-86,25,-83
52,-83,55,-80
49,-83,52,-80
46,-83,49,-80
43,-83,46,-80
40,-83,43,-80
37,-83,40,-80
34,-83,37,-80
31,-83,34,-80
28,-83,31,-80
25,-83,28,-80
22,-83,25,-80
52,-80,55,-77
49,-80,52,-77
46,-80,49,-77
43,-80,46,-77
40,-80,43,-77
37,-80,40,-77
34,-80,37,-77
31,-80,34,-77
28,-80,31,-77
25,-80,28,-77
22,-80,25,-77
52,-77,55,-74
49,-77,52,-74
46,-77,49,-74
43,-77,46,-74
40,-77,43,-74
37,-77,40,-74
34,-77,37,-74
31,-77,34,-74
28,-77,31,-74
25,-77,28,-74
22,-77,25,-74
52,-74,55,-71
49,-74,52,-71
46,-74,49,-71
43,-74,46,-71
40,-74,43,-71
37,-74,40,-71
34,-74,37,-71
31,-74,34,-71
28,-74,31,-71
25,-74,28,-71
22,-74,25,-71
52,-71,55,-68
49,-71,52,-68
46,-71,49,-68
43,-71,46,-68
40,-71,43,-68
37,-71,40,-68
34,-71,37,-68
31,-71,34,-68
28,-71,31,-68
25,-71,28,-68
22,-71,25,-68
52,-68,55,-65
49,-68,52,-65
46,-68,49,-65
43,-68,46,-65
40,-68,43,-65
37,-68,40,-65
34,-68,37,-65
31,-68,34,-65
28,-68,31,-65
25,-68,28,-65
22,-68,25,-65
52,-65,55,-62
49,-65,52,-62
46,-65,49,-62
43,-65,46,-62
40,-65,43,-62
37,-65,40,-62
34,-65,37,-62
31,-65,34,-62
28,-65,31,-62
25,-65,28,-62
22,-65,25,-62
52,-62,55,-59
49,-62,52,-59
46,-62,49,-59
43,-62,46,-59
40,-62,43,-59
37,-62,40,-59
34,-62,37,-59
31,-62,34,-59
28,-62,31,-59
25,-62,28,-59
22,-62,25,-59
